feature,importance
risk_score,0.19427875804762748
distance_from_home_km,0.1825784287828814
risk_x_foreign,0.1732307584826447
far_from_home,0.14619433482217967
velocity_1h,0.10243833388902926
velocity_24h,0.048441697478921936
is_foreign,0.04155981349267332
declined_last_24h,0.03766745097101244
high_velocity,0.026781023223183195
amount_log,0.0137004121463602
high_amount,0.009572281613838302
is_new_merchant,0.007464946186467203
velocity_ratio,0.004808708096126007
credit_utilization_pct,0.004732992362933548
amount,0.0042141848450193975
is_night_txn,0.001618223012804098
category_enc,0.00017677768164395794
transaction_hour,0.00016207051271078336
customer_age,0.00014851286495636058
account_age_days,8.149885527639007e-05
dow_enc,6.967906462650226e-05
credit_limit,5.795489664540453e-05
is_weekend,1.3762051298913364e-05
is_peak_hour,7.396619139561556e-06
